id,jenis_usaha,judul,kbli,kementrian,perizinan,sub_kbli,uraian
565,,"INDUSTRI RAJUTAN KAOS KAKI DAN SEJENISNYA",14303,,,,"Kelompok ini mencakup usaha pembuatan kaos kaki yang dibuat dengan cara rajut ataupun renda, seperti kaos kaki, termasuk kaos kaki, stocking, pantyhose."
566,,"INDUSTRI KULIT, BARANG DARI KULIT DAN ALAS KAKI",15,,,,"Golongan pokok ini mencakup pengolahan dan pencelupan kulit berbulu dan proses perubahan dari kulit jangat menjadi kulit dengan proses penyamakan atau proses pengawetan dan pengeringan serta pengolahan kulit menjadi produk yang siap pakai, seperti pembuatan koper, tas tangan dan sejenisnya, pakaian dan peralatan hewan yang terbuat dari kulit, dan pembuatan alas kaki. Golongan pokok ini juga mencakup pembuatan produk sejenisnya dari bahan lain (kulit imitasi atau kulit tiruan), seperti alas kaki dari bahan karet, koper dari tekstil dan lain-lain. Barang-barang terbuat dari kulit tiruan termasuk di sini, asalkan cara pembuatannya sama dengan produk kulit dibuat (koper), dan biasanya di produksi oleh unit yang sama.151 INDUSTRI KULIT DAN BARANG DARI KULIT, TERMASUK KULIT BUATAN Golongan ini mencakup pembuatan kulit dan kulit berbulu dan barang- barang yang terbuat dari padanya."
567,,"INDUSTRI KULIT DAN KULIT KOMPOSISI, TERMASUK PENCELUPAN KULIT BERBULU",1511,,,,"Subgolongan ini mencakup :- Penyamakan, pencelupan dan pengolahan kulit dan kulit jangat- Industri pengolahan simlir (chamois), pengolahan perkamen, kulit yang dimetalisasi atau dipatenkan- Industri kulit komposisi- Pembersihan, pencukuran, pencabutan, penggaraman, penyamakan, pengelantangan, dan pencelupan kulit berbulu dan kulit jangat yang berambutSubgolongan ini tidak mencakup :- Produksi kulit dan kulit jangat sebagai bagian dari peternakan, lihat golongan 014- Produksi kulit dan kulit jangat sebagai bagian dari penyembelihan, lihat 1013- Industri kulit buatan/imitasi yang berbahan utama tekstil, lihat 1399- Industri pakaian dari kulit, lihat 1411- Industri kulit imitasi yang bahan dasarnya bukan kulit asli, lihat 2219, 2229"
568,,"INDUSTRI PENGAWETAN KULIT",15111,,,,"Kelompok ini mencakup usaha pengawetan kulit yang berasal dari hewan besar, hewan kecil, reptil, ikan dan hewan lainnya, baik yang dilakukan dengan pengeringan, penggaraman, maupun pengasaman (pikel), seperti kulit hewan besar (sapi, kerbau), kulit hewan kecil (domba, kambing), kulit reptil (buaya, ular, biawak), kulit ikan (ikan pari,hiu/cucut, kakap, belut) dan kulit hewan lainnya."
569,,"INDUSTRI PENYAMAKAN KULIT",15112,,,,"Kelompok ini mencakup usaha penyamakan kulit yang berasal dari ternak besar (sapi, kerbau), ternak kecil (domba, kambing), reptil (buaya, ular, biawak), ikan (ikan pari, hiu cucut, kakap, belut) dan hewan lainnya yang dimasak dengan chrome nabati, sintetis, samak minyak dan samak kombinasi menjadi kulit tersamak, seperti wet blue, crust, sol, vache raam, kulit box, kulit beludru, kulit gelase dan kulit hiasan, kulit berbulu, kulit laminasi, kulit patent, kulit jaket, kulit sarung tangan, kulit chamois dan lainnya."
570,,"INDUSTRI PENCELUPAN KULIT BULU",15113,,,,"Kelompok ini mencakup usaha pemberian warna atau pencelupan pada kulit bulu yang digunakan pada barang jadi kulit."
571,,"INDUSTRI KULIT KOMPOSISI",15114,,,,"Kelompok ini mencakup usaha pembuatan kulit komposisi yang berasal dari potongan/remahan kulit hewan yang direkatkan kembali. Industri kulit buatan/imitasi yang berbahan utama tekstil dimasukkan dalam kelompok 13992. Industri kulit buatan/imitasi yang berbahan utama karet dimasukkan dalam kelompok 2219; dan industri kulit buatan/imitasi yang berbahan utama plastik dimasukkan dalam kelompok 2229."
572,,"INDUSTRI BARANG DARI KULIT DAN KULIT KOMPOSISI, KOPER, TAS TANGAN DAN SEJENISNYA, PELANA DAN ALAT PENGEKANG (HARNESS)",1512,,,,"Subgolongan ini mencakup :- Industri tas koper, tas tangan dan sejenisnya dari kulit, kulit komposisi atau bahan lain seperti plastik, tekstil, serat yang divulkanisir atau paperboard dimana menggunakan teknologi yang sama yang digunakan pada kulit- Industri pelana dan alat pengekang kuda, dan lainnya- Industri tali jam yang bukan metalik seperti kain, kulit, dan plastik - Industri bermacam-macam barang yang terbuat dari kulit atau kulit komposisi, seperti sabuk pengaman, alat pengepak dan lain-lain- Industri tali sepatu dari kulit- Industri cambuk kuda dan cambuk untuk membajak sawahSubgolongan ini tidak mencakup :- Industri pakaian dari kulit, lihat 1411- Industri sarung tangan dan topi dari kulit, lihat 1413- Industri alas kaki, lihat 1520- Industri sadel sepeda, lihat 3092- Industri tali jam dari logam mulia, lihat 3211- Industri tali jam dari logam tidak murni, lihat 3212- Industri sabuk pengaman teknisi listrik dan komunikasi (linemen) dan sabuk lainnya yang berhubungan dengan keperluan pekerjaan, lihat 3290"
573,,"INDUSTRI BARANG DARI KULIT DAN KULIT KOMPOSISI UNTUK KEPERLUAN PRIBADI",15121,,,,"Kelompok ini mencakup usaha pembuatan barang-barang dari kulit dan kulit komposisi atau bahan lain seperti plastik, tekstil, serat yang divulkanisir atau paperboard untuk keperluan pribadi, seperti koper, ransel, tas, dompet, kotak rias, sarung senjata, tempat kaca mata dan tali jam. Termasuk industri tali sepatu kulit."
574,,"INDUSTRI BARANG DARI KULIT DAN KULIT KOMPOSISI UNTUK KEPERLUAN TEKNIK/INDUSTRI",15122,,,,"Kelompok ini mencakup usaha pembuatan barang-barang dari kulit dan kulit komposisi untuk keperluan teknik/industri, seperti klep, packing, rem pickers, sarung tangan kerja, kulit pompa, kulit ban mesin (belt), kulit apron dan sisir kulit pada mesin (combing leather)."
575,,"INDUSTRI BARANG DARI KULIT DAN KULIT KOMPOSISI UNTUK KEPERLUAN HEWAN",15123,,,,"Kelompok ini mencakup usaha pembuatan barang-barang dari kulit dan kulit komposisi untuk keperluan hewan, seperti ikat leher hewan, tali kekang hewan, pelana hewan, brongsong mulut hewan, cambuk dan sepatu hewan."
576,,"INDUSTRI BARANG DARI KULIT DAN KULIT KOMPOSISI UNTUK KEPERLUAN LAINNYA",15129,,,,"Kelompok ini mencakup usaha pembuatan barang-barang dari kulit dan kulit komposisi untuk keperluan yang belum terliput dalam kelompok 15121 sampai dengan 15123, seperti jok, sabuk pengaman, alat pengepak dan kerajinan tatah sungging (hiasan, wayang dan kap lampu) dan lain- lain."
577,,"INDUSTRI ALAS KAKI",152,,,,"Golongan ini mencakup pembuatan alas kaki untuk semua kebutuhan, pembuatan bagian alas kaki dari kulit dan barang-barang sejenis, kecuali bagian alas kaki yang terbuat dari plastik, kayu dan karet"
578,,"INDUSTRI ALAS KAKI",1520,,,,"Subgolongan ini mencakup :- Industri alas kaki untuk berbagai kegunaan dari segala macam bahan, dengan berbagai proses, termasuk pencetakan (lihat pengecualian di bawah ini)- Industri bagian alas kaki dari kulit, seperti industri bagian atas alas kaki, bagian luar dan dalam sol, hak dan lain-lain- Industri gaiter, legging dan barang sejenisnyaSubgolongan ini tidak mencakup :- Industri alas kaki dari bahan tekstil tanpa sol terpasang, lihat 1413- Industri bagian sepatu yang terbuat dari kayu (contoh hak sepatu), lihat 1629- Industri bot karet, dan sol karet, hak karet serta bagian alas kaki lain yang terbuat dari karet, lihat 2219- Industri bagian alas kaki yang terbuat dari plastik, lihat 2229- Industri sepatu bot ski, lihat 3230- Industri sepatu ortopedik, lihat 3250"
579,,"INDUSTRI ALAS KAKI UNTUK KEPERLUAN SEHARI-HARI",15201,,,,"Kelompok ini mencakup usaha pembuatan alas kaki keperluan sehari-hari dari kulit dan kulit buatan, karet, kanvas dan kayu, seperti sepatu harian, sepatu santai (casual shoes), sepatu sandal, sandal kelom dan selop. Termasuk juga usaha pembuatan bagian-bagian dari alas kaki tersebut, seperti atasan, sol dalam, sol luar, penguat depan, penguat tengah, penguat belakang, lapisan dan aksesori dari kulit dan kulit buatan."
580,,"INDUSTRI SEPATU OLAHRAGA",15202,,,,"Kelompok ini mencakup usaha pembuatan sepatu untuk olahraga dari kulit dan kulit buatan, karet dan kanvas, seperti sepatu sepak bola, sepatu atletik, sepatu senam, sepatu jogging dan sepatu ballet. Termasuk juga usaha pembuatan bagian bagian dari sepatu olahraga tersebut, meliputi atasan, sol luar, sol dalam, lapisan dan aksesori."
581,,"INDUSTRI SEPATU TEKNIK LAPANGAN/KEPERLUAN INDUSTRI",15203,,,,"Kelompok ini mencakup usaha pembuatan sepatu termasuk pembuatan bagian-bagian dari sepatu untuk keperluan teknik lapangan/industri dari kulit, kulit buatan, karet dan plastik, seperti sepatu tahan kimia, sepatu tahan panas, sepatu pengaman."
582,,"INDUSTRI ALAS KAKI LAINNYA",15209,,,,"Kelompok ini mencakup usaha pembuatan alas kaki lainnya yang belum termasuk golongan manapun, seperti sepatu kesehatan dan sepatu lainnya, misalnya sepatu dari gedebog (pelepah batang pisang) dan eceng gondok. Termasuk industri gaiter, legging dan barang sejenisnya."
583,,"INDUSTRI KAYU, BARANG DARI KAYU DAN GABUS (TIDAK TERMASUK FURNITUR) DAN BARANG ANYAMAN DARI BAMBU, ROTAN DAN SEJENISNYA",16,,,,"Golongan pokok ini mencakup pembuatan barang-barang dari kayu. Kebanyakan digunakan untuk konstruksi dan juga mencakup berbagai proses pengerjaan dari penggergajian sampai pembentukan dan perakitan barang-barang dari kayu, dan dari perakitan sampai produk jadi seperti kontainer kayu. Terkecuali penggergajian, golongan pokok ini terbagi lagi sebagian besar didasarkan pada produk spesifik yang dihasilkan. Golongan pokok ini tidak mencakup pembuatan mebeler, atau perakitan/pemasangan perabot kayu dan sejenisnya."
584,,"INDUSTRI PENGGERGAJIAN DAN PENGAWETAN KAYU, ROTAN, BAMBU DAN SEJENISNYA",161,,,,"Golongan ini mencakup proses pengerjaan dari penggergajian kayu dan batang kayu sampai proses selanjutnya, pembuatan bantalan kayu rel kereta api, bahan kayu untuk lantai yang belum dirakit, wol kayu, tepung kayu, irisan dan partikel kayu. Golongan ini juga mencakup pengeringan kayu dan pengolahan secara kimia dan perendaman kayu dengan bahan pengawet dari bahan lainnya. Golongan ini tidak mencakup penggergajian kayu dan produksi kayu kasar (lihat 022), pembuatan lembaran tipis veneer (lapisan) yang dipakai dalam plywood (triplek), papan dan panel, sirap dan shakes, beading dan kayu cetakan."
585,,"INDUSTRI PENGGERGAJIAN DAN PENGAWETAN KAYU, ROTAN, BAMBU DAN SEJENISNYA",1610,,,,"Subgolongan ini mencakup :- Penggergajian kayu dengan mesin- Pengirisan, pengulitan dan pemotongan kayu gelondongan - Industri kayu untuk bantalan rel kereta- Industri bahan baku untuk pembuatan lantai kayu- Industri wol kayu, tepung kayu, irisan dan partikel kayuSubgolongan ini juga mencakup :- Pengeringan kayu (pengawetan)- Pengolahan kimia dan perendaman kayu dengan bahan pengawet atau bahan lainnyaSubgolongan ini tidak mencakup :- Penebangan kayu dan produksi kayu dalam keadaan kasar, lihat 0220- Industri lembaran lapisan veneer (kayu halus) yang cukup tipis yang digunakan dalam pembuatan triplek, papan dan panel, lihat 1621- Industri atap sirap, manik-manik kayu dan papan hias tembok, lihat 1622"
586,,"INDUSTRI PENGGERGAJIAN KAYU",16101,,,,"Kelompok ini mencakup usaha penggergajian, pengirisan, pengulitan dan pemotongan kayu gelondongan menjadi balok, kaso (usuk), reng, papan dan sebagainya. Termasuk industri kayu untuk bantalan rel kereta dan bahan baku untuk pembuatan lantai kayu."
587,,"INDUSTRI PENGAWETAN KAYU",16102,,,,"Kelompok ini mencakup usaha pengawetan kayu dengan cara pengeringan kayu, pengolahan kimia dan perendaman kayu dengan bahan pengawet atau bahan lainnya."
588,,"INDUSTRI PENGAWETAN ROTAN, BAMBU DAN SEJENISNYA",16103,,,,"Kelompok ini mencakup usaha pengawetan rotan, bambu dan sejenisnya."
589,,"INDUSTRI PENGOLAHAN ROTAN",16104,,,,"Kelompok ini mencakup usaha pengolahan rotan menjadi bahan setengah jadi, seperti rotan poles, hati rotan dan kulit rotan."
590,,"INDUSTRI PARTIKEL KAYU DAN SEJENISNYA",16105,,,,"Kelompok ini mencakup usaha pembuatan partikel kayu dan sejenisnya seperti wol kayu, tepung kayu, dan irisan atau serpih kayu (woodchips)."
591,,"INDUSTRI BARANG DARI KAYU; INDUSTRI BARANG DARI GABUS DAN BARANG ANYAMAN DARI JERAMI, ROTAN, BAMBU DAN SEJENIS LAINNYA",162,,,,"Golongan ini mencakup pembuatan barang-barang dari kayu, barang- barang anyaman dari bambu, rotan dan sejenisnya, termasuk bentuk dasar seperti barang rakitan. Golongan ini juga mencakup pembuatan lembaran tipis veneer (lapisan), plywood (triplek), barang-barang kayu yang dimaksudkan untuk digunakan konstruksi, pembuatan kontainer kayukecuali koper. Barang kayu lainnya, pembuatan barang-barang dari kayu gabus, jerami dan barang anyaman lainnya."
592,,"INDUSTRI VENEER, KAYU LAPIS, KAYU LAMINASI DAN SEJENISNYA",1621,,,,"Subgolongan ini mencakup :- Industri lembaran veneer (kayu halus) yang cukup tipis yang digunakan untuk melapisi, membuat triplek atau kegunaan lainnya, meliputi proses pelicinan, pencelupan, pelapisan, pengisian, penguatan (baik dengan kertas atau kain) dan dibuat dalam bentuk motif- Industri triplek, panel veneer (kayu halus) dan jenis papan dan lembaran berlapis kayu- Industri papan partikel dan papan serat- Industri kayu yang dipadatkan- Industri kayu laminasi"
593,,"INDUSTRI KAYU LAPIS",16211,,,,"Kelompok ini mencakup usaha pembuatan kayu lapis biasa, seperti kayu lapis tripleks, multipleks, kayu lapis interior, eksterior dan sejenisnya. Termasuk juga kayu lapis konstruksi, seperti kayu lapis cetak beton, kayu lapis tahan air dan sejenisnya."
594,,"INDUSTRI KAYU LAPIS LAMINASI, TERMASUK DECORATIVE PLYWOOD",16212,,,,"Kelompok ini mencakup usaha pembuatan kayu lapis yang dilaminasi, seperti teak wood, rose wood, polyester plywood dan sejenisnya. Termasuk juga bambu lapis yang dilaminasi."
595,,"INDUSTRI PANEL KAYU LAINNYA",16213,,,,"Kelompok ini mencakup usaha pembuatan panel kayu lainnya, seperti particle board, chip board, fibre board, Medium Density Fibreboard (MDF) dan sejenisnya."
596,,"INDUSTRI VENEER",16214,,,,"Kelompok ini mencakup usaha pembuatan serutan pelapis (veneer) dengan cara pengupasan (rotary), penyayatan (slicer) dan sejenisnya."
597,,"INDUSTRI KAYU LAMINASI",16215,,,,"Kelompok ini mencakup industri kayu laminasi seperti barecore, blockboard, dan lamin board."
598,,"INDUSTRI BARANG BANGUNAN DARI KAYU",1622,,,,"Subgolongan ini mencakup :- Industri komponen bahan bangunan dari kayu yang digunakan utamanya untuk industri konstruksi, seperti balok, kaso, rangka atap yang dihaluskan keempat sisinya; tiang penopang yang dibuat dari kayu secara bilah sambung (finger joint) dengan perekat atau dihubungkan dengan logam (metal); profil dan moulding kayu; daun pintu/jendela dan rangkanya (kusen) baik yang mengandung bahan logam atau tidak, seperti engsel, kunci dan sebagainya; tangga, susuran tangga; manik-manik dari kayu dan papan penghias tembok dan papan nama; atap sirap, lantai kayu siap pasang- Industri rumah/bangunan pabrikan atau prefabrikasi atau elemen-elemennya yang didominasi oleh kayu- Industri rumah bergerak- Industri partisi kayu (tidak termasuk penyekat ruangan yang berdiri sendiri/furnitur)Subgolongan ini tidak mencakup :- Industri bahan baku untuk pembuatan lantai kayu, lihat 1610- Industri lemari dapur (kabinet), rak buku, lemari pakaian dan sebagainya, lihat 3100- Industri partisi kayu, penyekat ruangan yang berdiri sendiri/furnitur, lihat 3100"
599,,"INDUSTRI BARANG BANGUNAN DARI KAYU",16221,,,,"Kelompok ini mencakup industri komponen bahan bangunan dari kayu yang digunakan utamanya untuk industri konstruksi, seperti balok, kaso, rangka atap yang dihaluskan keempat sisinya; tiang penopang yang dibuat dari kayu secara bilah sambung (finger joint) dengan perekat atau dihubungkan dengan logam (metal); profil dan moulding kayu, daun pintu/jendela dan rangkanya (kusen), tangga dan susuran tangga, manik-manik dari kayu dan papan penghias tembok dan papan nama; atap sirap, lantai kayu siap pasang yang terbuat dari kayu solid (solid wood) atau engineering wood; serta pengerjaan kayu untuk bahan bangunan lainnya."
600,,"INDUSTRI BANGUNAN PRAFABRIKASI DARI KAYU",16222,,,,"Kelompok ini mencakup usaha pengerjaan kayu untuk bangunan prafabrikasi. Termasuk industri rumah bergerak dan partisi kayu (tidak termasuk penyekat ruangan yang berdiri sendiri/furnitur)"
601,,"INDUSTRI WADAH DARI KAYU",1623,,,,"Subgolongan ini mencakup :- Industri kotak kemas, boks, peti kayu, drum kayu dan kemasan sejenisnya dari kayu- Industri palet (pallets), kotak palet dan papan muat dari kayu lainnya - Industri barel, tong, ember dan produk dari kayu lainnya- Industri gulungan kawat dari kayuSubgolongan ini tidak mencakup :- Industri tas koper (luggage), lihat 1512- Industri wadah dari bahan anyaman, lihat 1629"
602,,"INDUSTRI WADAH DARI KAYU",16230,,,,"Kelompok ini mencakup usaha pembuatan segala macam wadah atau peti/kotak dari kayu untuk pengemasan, seperti kotak kemas, boks, peti kayu, drum kayu dan kemasan sejenisnya dari kayu; palet (pallets), kotak palet dan papan muat dari kayu lainnya; barel, tong, ember dan produk dari kayu lainnya; dan gulungan kawat dari kayu."
603,,"INDUSTRI BARANG LAINNYA DARI KAYU; INDUSTRI BARANG DARI GABUS DAN BARANG ANYAMAN DARI JERAMI, ROTAN, BAMBU DAN SEJENISNYA",1629,,,,"Subgolongan ini mencakup :- Industri berbagai macam barang dari kayu, seperti gagang atau badan untuk perkakas, sapu, sikat; bagian dari bot dan sepatu (seperti hak dan alas sepatu); gantungan baju, frame cermin dan pigura dari kayu, frame kanvas; gagang payung, tongkat dan sejenisnya; peralatan rumah tangga dan peralatan dapur dari kayu; patung dan ornamen dari kayu; kotak kayu untuk perhiasan, alat makan seperti sendok, garpu dan pisau dan barang sejenisnya; kumparan dari kayu, gulungan benang jahit dan barang sejenisnya dari kayu; kayu cetakan untuk pembuatan pipa rokok dan barang lainnya dari kayu- Pengolahan gabus alami, industri gabus aglomerasi- Industri barang dari gabus alami atau gabus aglomerasi, termasuk penutup lantai dari gabus- Industri bahan anyaman dan barang dari bahan anyaman, seperti keset kaki, tikar, kasa/tabir, wadah dan sebagainya- Industri keranjang dan barang anyaman- Industri kayu bakar, dibuat dari kayu atau bahan substitusi seperti ampas kopi atau biji kedelai yang dipresSubgolongan ini tidak mencakup :- Industri keset kaki atau tikar dari bahan tekstil, lihat 1392- Industri tas koper (luggage), lihat 1512- Industri alas kaki dari kayu, lihat 1520- Industri korek api, lihat 2029- Industri case (badan) jam dinding, lihat 2652- Industri alat penggulung benang dari kayu yang menjadi bagian dari mesin tekstil, lihat 2826- Industri furnitur, lihat 3100- Industri mainan dari kayu, lihat 3240- Industri pelampung gabus, lihat 3290- Industri sikat dan sapu, lihat 3290- Industri peti mati, lihat 3290"
